Distance,Word
2.22045e-16,அறிவித்தது
0.311678,அறிவித்தார்
0.429429,போராட்டம்
0.435612,குற்றம்
0.43894,புரட்சி
0.456747,தலைமையிலான
0.469952,அழைக்கப்படும்
0.476345,அழைக்கப்பட்ட
0.482439,செய்யப்பட்டது
0.483206,முதலாவது
0.485102,இராமசாமி
0.510527,அழைக்கப்பட்டது
0.512587,அரசால்
0.527639,எதிர்த்து
0.530132,காங்கிரசு
0.5323,கூறுகிறது
0.534054,நடைபெற்றது
0.536946,அறிவிக்கப்பட்டது
0.541633,மே
0.543965,கூறி
0.545656,முடிவு
0.547205,குறிப்பிடுகிறார்
0.547644,அழைக்கப்படுகின்றன
0.548252,இதை
0.549065,கூறுகின்றன
0.5512,ஏற்றுக்
0.551466,செய்தது
0.551883,கூறுகின்றனர்
0.554971,மாற்றப்பட்டது
0.55624,இடம்பெற்ற
0.557527,அறியப்படும்
0.560718,அரசு
0.563378,பட்டது
0.56954,அழைக்கப்படுகிறது
0.574081,பிரிவுகள்
0.575052,சட்டம்
0.576618,நம்பப்படுகிறது
0.577438,செய்யப்பட்டார்
0.577597,கொள்கையை
0.578834,சட்ட
0.583033,தபால்தலை
0.586159,தலைவராக
0.586261,இல்
0.590878,ஆகவே
0.595105,நடுவண்
0.597767,கொலை
0.601378,பெப்ரவரி
0.601694,அழைக்கின்றனர்
0.602388,அன்று
0.602435,எதிரான
0.604543,நிறுவப்பட்ட
0.608501,கூறினார்
0.609235,நவம்பர்
0.609475,சூலை
0.610519,எதிர்ப்பு
0.613742,அரசாங்கம்
0.613962,பிரிவு
0.615439,அண்ணாதுரை
0.617942,கூறுகிறார்
0.622728,செய்தனர்
0.623909,இதனை
0.624823,நீதி
0.625925,ஒப்பந்தம்
0.626451,முடிவில்
0.63234,கண்ட
0.632464,திமுக
0.636949,சுதந்திர
0.638249,கருதுகின்றனர்
0.640938,அறியப்பட்ட
0.645192,நடந்த
0.645655,போதிலும்
0.647241,சிலர்
0.647862,கருதப்பட்டது
0.648155,வழங்கியது
0.65,அக்டோபர்
0.653225,நிறுவப்பட்டது
0.653849,கலாம்
0.654753,பாஜக
0.65507,அழைக்கப்படுகின்றது
0.657713,தலைவர்
0.658959,நேரு
0.660098,இறுதியாக
0.660221,செப்டம்பர்
0.662437,அடிப்படைக்
0.663118,கூறப்படுகிறது
0.664285,சனவரி
0.664629,அறியப்படுகிறது
0.66626,ஜெர்மனி
0.666908,அறிக்கை
0.667033,அறை
0.670627,மாறியது
0.671074,போர்
0.673224,டிசம்பர்
0.673722,எதிராக
0.675004,தொடங்கும்
0.675472,அண்ணா
0.679143,வழங்கப்படுகிறது
0.680541,கொரிய
0.680782,இந்திரா
0.681979,அரசியல்
0.683074,சார்பில்
0.683384,தலைமையில்
0.686398,முடியாது
0.686528,அதிகாரம்
0.687178,குடியரசு
0.689094,இயலாது
0.690381,அரசின்
0.690858,தொகுதியில்
0.692128,நடைபெற்ற
0.692407,அனைத்து
0.698147,மீது
0.698965,இறுதியில்
0.699753,இதே
0.700076,பொருள்படும்
0.700517,என்பதற்கு
0.702277,ஆகஸ்ட்
0.702709,இல்லை
0.704552,நடந்து
0.704772,காந்தி
0.705659,பெயரை
0.706626,அஞ்சல்
0.706858,படை
0.707774,எல்லா
0.708184,குறிப்பிடுகிறது
0.709355,மாநில
0.710095,கிருஷ்ணன்
0.710364,ஜூலை
0.710441,பிரித்தானிய
0.710598,மார்ச்
0.710622,அரசன்
0.711306,கிடையாது
0.713168,விரைவில்
0.71333,சீனப்
0.714617,வழக்கம்
0.714725,கூடும்
0.71474,திசம்பர்
0.71522,நகர்
0.715244,கருதப்படுகிறது
0.715824,போரில்
0.716241,ஆதரவு
0.716791,சோவியத்
0.717433,விடுதலைப்
0.718081,மொத்தம்
0.718105,காட்டுகிறது
0.718765,இந்தி
0.72012,தற்போது
0.721717,வழங்கப்படும்
0.723829,பிரதமர்
0.724778,காஞ்சி
0.725021,கொண்டது
0.727381,என்றால்
0.7274,நான்
0.728776,பிபிசி
0.729798,உருவாக்கியது
0.729868,வரிசையில்
0.730078,கட்சியின்
0.730307,தலைமை
0.731778,நாடு
0.731907,மக்களால்
0.732045,பதவி
0.732726,முதன்முதலாக
0.733831,ஏன்
0.734828,தமிழ்நாடு
0.735317,மாற்றி
0.735599,குடியரசுத்
0.736431,ஒன்றிய
0.739072,காங்கிரஸ்
0.739523,சூன்
0.739946,மதிப்பீடு
0.740497,குழு
0.740637,உண்மையில்
0.741141,இந்திய
0.742787,வைக்கப்பட்டது
0.743989,காணப்பட்டது
0.744046,தொழிலாளர்கள்
0.74513,கைது
0.746068,பிரிந்து
0.746973,எவ்வளவு
0.747136,கட்சிகள்
0.747149,இதற்கு
0.74744,தொடங்கிய
0.747453,நாடாக
0.747667,கருதப்படுகின்றது
0.748155,அதிபர்
0.753002,அல்ல
0.75404,தற்காலத்தில்
0.755461,கழகம்
0.755561,நடத்திய
0.756654,ஒன்றியம்
0.757487,நீ
0.757964,ஒன்றியத்தின்
0.758224,பற்றிக்
0.758285,இதன்படி
0.758637,அமைதி
0.759064,நூலின்
0.759267,பிப்ரவரி
0.759504,மேலாண்மை
0.759711,திராவிட
0.759815,ல்
0.760067,எல்லாம்
0.761944,ஜனவரி
0.76264,நான்காம்
0.762932,கூறலாம்
0.763018,தொடங்கினர்
0.763315,அமெரிக்கப்
0.76474,படைகள்
0.765182,மாநிலங்களின்
0.765346,என்கிற
0.767145,நடந்தது
0.7689,இந்தச்
0.769321,உலகப்
0.769351,திட்டத்தின்
0.770244,இவன்
0.770942,சான்றுகள்
0.771624,அடுத்து
0.771648,ஏற்பட்ட
0.77178,மன்னர்
0.772518,பிலிப்பைன்ஸ்
0.772668,தொடங்கப்பட்டது
0.772825,முன்னேற்றக்
0.773169,அறியலாம்
0.77565,ஜூன்
0.776224,ஒவ்வொன்றும்
0.777702,வழங்கும்
0.778012,தமிழ்நாட்டு
0.778311,முடிவுக்கு
0.779171,நாடுகளும்
0.779504,கோணங்கள்
0.779801,பதிலாக
0.780531,இதனால்
0.780657,பிரித்தானியர்
0.780775,தமிழகத்தின்
0.781417,பலர்
0.782315,அனைவரும்
0.782327,இருக்கலாம்
0.782835,எதுவும்
0.782945,அமைந்த
0.783082,அதனால்
0.783947,அதற்கு
0.784394,பொதுத்
0.785119,ஆஸ்திரேலிய
0.785306,கோட்டை
0.785375,நாடுகளின்
0.785529,விதி
0.785543,ஆங்கிலேய
0.785633,நிர்வாகம்
0.785756,உறுப்பினர்
0.787114,தேர்தலில்
0.787344,கூட்டமைப்பு
0.787618,உலகளாவிய
0.788149,காரணம்
0.789815,கூடியது
0.791468,மாநாடு
0.792012,புலிகள்
0.792885,மக்களாட்சி
0.793393,ஊர்களும்
0.795465,ஜெர்மனியின்
0.795744,கண்டம்
0.795923,கொல்லப்பட்டனர்
0.795973,ஆனது
0.796151,பாண்டியன்
0.796501,இலங்கையில்
0.796862,காடுகளில்
0.797145,விமானம்
0.797642,உருவானது
0.79794,அவர்களை
0.798011,இந்தக்
0.798336,இரண்டாம்
0.798707,பிரித்தானியப்
0.798771,முத்து
0.799551,கறுப்பு
0.80051,எங்கும்
0.801174,அரசியலில்
0.801324,சூழலில்
0.801391,முதலாம்
0.801666,கொள்கைகள்
0.801949,காசுமீர்
0.801995,வழங்குகிறது
0.802107,தன்னை
0.803431,காட்டிலும்
0.80379,ஜான்
0.803816,இத்தாலி
0.804648,சர்வதேச
0.805186,தொடங்கியது
0.805791,வருகின்றது
0.805886,பிரிக்கப்பட்டுள்ளது
0.806107,பொருளியல்
0.806779,கடுமையாக
0.807025,இதைத்
0.807375,பின்பு
0.808859,எனினும்
0.809857,யூனியன்
0.810086,மாதத்தில்
0.810512,அடைய
0.810818,பாகிஸ்தான்
0.811692,மாநிலங்களில்
0.811786,போரின்
0.812256,நியூசிலாந்து
0.812853,தேர்வு
0.813056,கடவுள்
0.813268,இவ்விரு
0.813529,கிடைத்தது
0.813833,ஆட்சியை
0.813983,மன்னன்
0.814826,ஏப்ரல்
0.814838,பாரம்பரியக்
0.815064,எட்டு
0.815415,தொல்காப்பியம்
0.815747,தேர்ந்தெடுக்கப்பட்டார்
0.815977,தாக்குதல்
0.81644,தொழிலாளர்
0.816472,தலைவர்கள்
0.816943,பிரான்சு
0.817803,திருத்தந்தை
0.818915,ஜப்பான்
0.819136,மேற்படி
0.819929,அதிகரித்தது
0.820038,அப்பல்லோ
0.820568,புலிகளின்
0.82067,ஆங்கிலத்தில்
0.821192,அக்காலத்தில்
0.821595,வண்ணம்
0.822435,விளங்குகின்றது
0.823077,ஜிமெயில்
0.82347,மக்கள்தொகை
0.82362,கதிரியக்க
0.824111,உரிமை
0.824525,தனி
0.825569,புது
0.825809,பொருள்கள்
0.825859,சீனாவின்
0.827019,கண்ணகி
0.827076,வெளியிணைப்புகள்
0.827306,ஆண்டும்
0.827359,மூன்று
0.828969,எம்ஜிஆர்
0.829254,இரு
0.829425,நடை
0.830137,தடை
0.830199,கோயில்கள்
0.830321,யார்
0.830625,சோதனை
0.831335,இயக்கம்
0.832338,நேரடி
0.832751,குறிப்பிட்டுள்ளார்
0.832814,தமிழீழ
0.833178,அரசாங்கத்தின்
0.833609,சிவபெருமான்
0.834353,இராணுவம்
0.834466,எடுத்துக்
0.834501,வங்கி
0.834545,கருதப்படும்
0.835619,நகரங்களும்
0.835664,கருத்து
0.835763,இயக்கவியல்
0.836762,மரபணு
0.836772,அவனது
0.83759,காந்தியின்
0.837988,அனைத்துப்
0.838244,வழக்கு
0.838652,ஆண்டளவில்
0.838689,கொடி
0.838999,மிகக்
0.840119,கூறும்
0.840374,அடைந்தது
0.840408,காலப்பகுதியில்
0.840783,அணுக்கள்
0.840947,பரப்பளவு
0.841096,நடத்தி
0.841369,பெயர்
0.841484,வெள்ளை
0.84196,என்பதால்
0.842067,சாதி
0.842331,சாக்கொலேட்
0.842771,ஏற்படுத்தியது
0.842998,தனியான
0.843329,ஆகத்து
0.844033,பழம்
0.844104,சிதம்பரம்
0.84454,திறன்
0.844703,அமைப்புகள்
0.845599,சிவன்
0.847218,எனத்
0.847485,தேசியப்
0.847548,தவிர்த்து
0.847765,அணிக்கு
0.847972,திருக்குறள்
0.848384,இரத்த
0.848458,நெதர்லாந்து
0.84866,குறிப்பிடப்பட்டுள்ளது
0.849031,நல்லூர்
0.849572,என்பவரால்
0.849608,நிற்கும்
0.849691,இலத்திரன்
0.850546,உள்ளார்
0.850724,லட்சம்
0.851403,நாற்பது
0.851796,தெரிகிறது
0.851968,கூறுவர்
0.852413,ஒரே
0.852869,நடவடிக்கை
0.853549,தமிழக
0.853748,கூட்டணி
0.854299,நாடாகும்
0.85444,அமைப்பு
0.855315,வட்ட
0.855748,தலங்கள்
0.856102,இப்போது
0.856178,போலந்து
0.856235,தாம்
0.856387,மு
0.85663,காவல்
0.856786,கருதி
0.856904,துணைப்
0.857004,உருவாக்கும்
0.857253,மதம்
0.85735,பாரிய
0.857359,தத்துவ
0.857388,கூடுதலான
0.857658,இராணுவ
0.858114,பெற்று
0.858408,செருமானிய
0.858426,நாடாகவும்
0.858657,பின்னாளில்
0.85874,தனிமங்கள்
0.859033,தபால்
0.859474,காலத்திலும்
0.859584,இவற்றை
0.859806,இணைப்பு
0.859832,நாடுகள்
0.860074,மாற்றம்
0.860373,சிங்
0.860494,வலுவான
0.8607,ராபர்ட்
0.860781,தன்னாட்சி
0.860814,முன்னர்
0.860981,விடுதலை
0.861664,தளம்
0.861836,நாம்
0.862738,பொருள்
0.862843,இருப்பதால்
0.862989,வென்று
0.86299,கர்நாடக
0.86306,ஆவது
0.863288,உலக
0.863993,ரக்பி
0.864026,முதற்
0.864097,இடையிலான
0.864385,தேசியக்
0.864938,கூடிய
0.865095,க்கும்
0.865141,மிக்க
0.865426,சுற்றுச்சூழல்
0.866077,கொண்டவை
0.866402,மாநிலத்திலுள்ள
0.866843,இதனைத்
0.86743,பெரு
0.867782,திரு
0.86782,இக்காலத்தில்
0.867877,கடும்
0.868161,டிஎன்ஏ
0.868166,எப்போதும்
