Distance,Word
0,அறிவியல்
0.205639,கணிதம்
0.224587,தொழில்நுட்ப
0.22993,துறைகளில்
0.230691,மற்றும்
0.240304,ஆராய்ச்சி
0.240612,தொழில்நுட்பம்
0.245086,சமூக
0.249355,இயற்கை
0.265011,தொடர்பான
0.273356,போன்ற
0.274916,ஆகியவற்றை
0.276199,சார்ந்த
0.27729,ஆகிய
0.278641,நவீன
0.280427,அறிவு
0.281614,ஆகியவை
0.284999,ஆகியவற்றின்
0.285068,ஆய்வுகள்
0.290818,கலை
0.296204,பாதுகாப்பு
0.297116,கல்வி
0.29893,மருத்துவம்
0.300195,பிற
0.302641,மூலமாக
0.305251,பிராந்திய
0.307193,கலாச்சார
0.308244,தகவல்
0.308746,ஆகியவற்றில்
0.317115,வடிவமைப்பு
0.317375,பல்வேறு
0.318589,போன்றவை
0.321105,குறித்த
0.322006,தொழில்துறை
0.323578,முக்கிய
0.324732,ஆய்வு
0.325064,பண்பாடு
0.330948,கட்டமைப்பு
0.331044,பயன்பாடு
0.331983,இராணுவ
0.333355,போன்றவற்றை
0.333451,ஆகியோர்
0.333608,உள்ளூர்
0.334423,பயன்படுத்தி
0.3353,அமைப்பு
0.335632,மேலும்
0.338154,பொருளாதார
0.340016,பகுப்பாய்வு
0.340478,அடிப்படை
0.342114,அனைத்து
0.342434,மற்ற
0.343621,விலங்குகளின்
0.346133,குறிப்பாக
0.347963,தொழில்
0.348726,கணினி
0.349055,துறையில்
0.349137,முறையே
0.349374,புவி
0.351238,பல
0.351278,இடையேயான
0.353798,வழிமுறைகள்
0.35477,ஆகியன
0.354897,பண்பாட்டு
0.355768,அத்துடன்
0.356349,உள்ளிட்ட
0.3586,அடங்கும்
0.35872,தொடர்பு
0.359909,வேதியியல்
0.360957,மூலம்
0.361963,நிறுவனங்கள்
0.362086,உள்ளடக்கிய
0.362156,பற்றிய
0.362369,கொண்டுள்ளது
0.363352,பெரும்பாலான
0.363907,சுற்றியுள்ள
0.364037,என்பன
0.36475,பொது
0.365953,பொருட்கள்
0.366524,ஏனைய
0.367985,மீதான
0.368045,இடையே
0.369652,நிறுவனம்
0.370704,தொடர்புடைய
0.371869,உயர்
