Distance,Word
0,இந்தியா
0.191444,சீனா
0.192686,நாடுகளில்
0.224541,மற்றும்
0.229211,ஆகிய
0.245626,பாகிஸ்தான்
0.264657,மலேசியா
0.270835,தாய்லாந்து
0.27319,போன்ற
0.280773,மத்திய
0.281332,வட
0.287247,பிலிப்பைன்ஸ்
0.287674,குறிப்பாக
0.289214,பகுதிகளில்
0.295747,பெரும்
0.300529,முக்கிய
0.301109,பெரும்பாலான
0.301971,நாட்டின்
0.302778,மேலும்
0.303497,ஆசிய
0.303659,ஆஸ்திரேலியா
0.305183,தென்
0.30544,பிற
0.307646,பல
0.308512,கொண்டுள்ளது
0.309765,தற்போது
0.314829,இருந்து
0.314868,பல்வேறு
0.31937,தொடர்ந்து
0.320096,மற்ற
0.320222,பிரேசில்
0.320571,பகுதிகளை
0.322262,கிழக்கு
0.322891,அரசாங்கம்
0.324432,அத்துடன்
0.324717,காரணமாக
0.324857,பிரித்தானிய
0.327912,ஐரோப்பாவில்
0.327995,இந்தியாவின்
0.333733,மேற்கத்திய
0.335417,வருகிறது
0.335419,இங்கிலாந்து
0.336042,நாடு
0.336432,பொருளாதார
0.336628,நவீன
0.338547,மேற்கு
0.338554,எகிப்து
0.339211,உள்ளடக்கிய
0.339234,பாதுகாப்பு
0.340406,அரசியல்
0.340722,இந்த
0.340942,சுதந்திரம்
0.342688,இந்திய
0.342909,உள்ளன
0.343449,இருந்தன
0.344113,கொண்டு
0.34504,முழுவதும்
0.345368,மூலம்
0.346373,இராணுவ
0.346699,இருந்தது
0.34719,உள்ளூர்
0.34926,உலக
0.349481,இடையில்
0.351563,பிரான்சு
0.351841,ஏனைய
0.353626,இணைந்து
0.354124,இங்கு
0.355405,ஆகியவை
0.355532,இடையே
0.355924,இருக்கிறது
0.356393,உள்ளிட்ட
0.356452,அமைப்பு
0.357024,இரண்டு
0.357702,அனைத்து
0.360009,தொடர்பான
0.360058,மூன்று
0.360384,புதிய
0.360717,ரஷ்யா
0.361638,ஐரோப்பிய
0.361704,வடக்கு
0.361721,அரசு
0.362698,பொருளாதாரம்
0.36275,பரவலாக
0.363404,இந்தியாவில்
0.364459,உள்ள
0.365522,அமைந்துள்ளன
0.365874,ஆகியவற்றை
0.36607,மூலமாக
0.366395,முறையே
0.366931,குறிப்பிடத்தக்க
0.367176,இதில்
0.367884,அதன்
0.368178,தற்போதைய
0.369012,பின்னர்
0.369707,பகுதிகள்
0.370105,முதன்மை
0.370261,ஆசியா
0.370626,மிகவும்
0.370918,பண்டைய
0.371026,சில
0.371366,அவர்கள்
0.371853,தெற்கு
0.372989,அமெரிக்காவில்
0.373151,உட்பட
0.373852,இடங்களில்
0.374254,சார்ந்த
0.374325,ஆதிக்கம்
0.374776,காணப்படுகிறது
0.374813,பிறகு
0.374868,உள்ளது
0.37537,எனினும்
0.375717,ஆகியவற்றில்
0.376338,இலங்கை
0.376505,ஆகியன
0.377038,என்பன
0.377207,பகுதியில்
0.377994,இருந்த
0.378002,வரலாறு
0.378057,நகரங்களில்
0.378181,உருவான
0.378564,அரச
0.378718,வர்த்தக
0.378726,என
0.378891,இது
0.379167,ஐரோப்பா
0.379434,ஆண்டுகளில்
0.379527,உருவானது
0.379808,அமெரிக்க
0.380054,மாநிலங்கள்
0.380092,பெரும்பாலும்
0.380139,இயற்கை
0.380413,அடிப்படையில்
0.380639,பயன்படுத்தி
0.380726,காலத்தில்
0.380909,பொது
0.381299,வளர்ச்சி
0.381626,நாடுகளின்
0.382672,கொள்கை
0.382968,இடம்
0.383533,உருவாக்கப்பட்டது
0.384054,ஜப்பான்
0.384483,முந்தைய
0.38455,ஆகியவற்றின்
0.384914,மிகுந்த
0.38555,கலாச்சார
0.386018,இருப்பினும்
0.386377,மீதான
0.386713,பெருமளவு
0.386733,ஏறக்குறைய
0.386788,அரசாங்க
0.386898,நாடுகளுக்கு
0.387529,பின்
0.387715,கல்வி
0.3879,நடு
0.388125,ஆராய்ச்சி
0.388723,வருகின்றது
0.389045,ஆதரவு
0.389173,அடுத்து
0.389305,அரசாங்கத்தின்
0.389614,சேர்ந்த
0.389674,கீழ்
0.390256,வெளிநாட்டு
0.390376,அதிகமாக
0.390401,சிங்கப்பூர்
0.390503,நியூசிலாந்து
0.390778,நிறைந்த
0.391095,போன்றவை
0.391162,தொழில்
0.391184,தொழில்துறை
0.391527,பயன்பாடு
0.391636,பிரிட்டிஷ்
0.392227,ஏற்பட்ட
0.392583,புகழ்பெற்ற
0.392738,இதன்
0.393031,களில்
0.393044,ஆகியோர்
0.393417,சீன
0.393423,பெரிய
0.393516,இதனால்
0.393674,விளங்குகிறது
0.394119,காணப்படும்
0.394288,ஐந்து
0.394298,வகையில்
0.394362,இன்று
0.39438,அவர்களின்
