Distance,Word
0,இந்தியா
0.137792,பாகிஸ்தான்
0.138065,மலேசியா
0.145096,சீனா
0.182393,தாய்லாந்து
0.279267,நாடுகளில்
0.348137,சிங்கப்பூர்
0.359589,எகிப்து
0.406715,இலங்கை
0.411601,மாகாணம்
0.413742,ரஷ்யா
0.470702,பிபிசி
0.479137,பிரேசில்
0.485093,ஆப்பிரிக்கா
0.499072,நாடுகளிலும்
0.506057,ஜப்பான்
0.506653,குரல்
0.511164,ரூபாய்
0.526491,கொரியா
0.52752,ஆஸ்திரேலியா
0.537577,பிலிப்பைன்ஸ்
0.576003,ஆசியா
0.580242,அடைந்த
0.584004,வளரும்
0.590805,பிரான்ஸ்
0.591844,பிரான்சு
0.592859,நியூசிலாந்து
0.597093,பலா
0.597736,பனை
0.618051,கடும்
0.620082,ஐரோப்பா
0.623173,கண்டி
0.628052,தமிழர்கள்
0.628595,நெதர்லாந்து
0.636227,கண்டம்
0.639162,இத்தாலி
0.640456,நாடுகளும்
0.646437,இராணுவம்
0.64802,ஆசிய
0.6595,கொழும்பு
0.666079,ஆகிய
0.668471,தங்கம்
0.678871,நிலக்கரி
0.68004,பிரித்தானிய
0.683425,அரசியல்வாதிகள்
0.683542,வங்காளம்
0.686407,அரச
0.687492,மன்னர்கள்
0.695095,வகிக்கிறது
0.697536,மலர்
0.69759,மருத்துவ
0.698274,உலோக
0.699696,திரை
0.704324,நாகரிகம்
0.709604,காணலாம்
0.713109,தமிழ்நாடு
0.715895,வரும்
0.716904,இடங்களில்
0.719072,தயாரிக்கப்படுகிறது
0.72021,ஆசியாவில்
0.72303,கதை
0.724472,வளர்ந்த
0.726452,உலகம்
0.726692,பேரரசு
0.726843,இங்கிலாந்து
0.726965,விஷ்ணு
0.7284,பிரித்தானியா
0.728899,ஸ்பெயின்
0.729017,புத்த
0.729081,பெரு
0.72957,தென்
0.729636,நல்ல
0.730256,உணவுப்
0.730425,கொண்டுள்ள
0.733415,வானொலி
0.736961,வெள்ளி
0.73845,வம்சம்
0.739003,முழுவதும்
0.739783,சுதந்திர
0.740576,வட
0.742507,ஏற்றுக்
0.743538,பட்டம்
0.745029,அரசின்
0.746359,அமெரிக்கா
0.747236,ஆட்டம்
0.748511,சிங்கள
0.749135,இலை
0.75098,தேன்
0.751641,மொழிகளில்
0.756012,பால்
0.757774,உலோகங்கள்
0.759946,சென்று
0.761249,மத்திய
0.762066,விளங்கும்
0.763303,அரசால்
0.763434,கிடைக்கின்றன
0.765518,அரசாங்க
0.767534,தென்கிழக்கு
0.768004,இந்தியாவில்
0.770528,பஞ்சாப்
0.771836,விடுதலைப்
0.772385,கன்னடம்
0.77534,புராணம்
0.776533,பெயர்கள்
0.776818,பரவியது
0.778429,இதனை
0.77878,எடுத்துக்
0.778899,வருகின்றது
0.780037,தினமும்
0.781555,போன்ற
0.783993,ஏற்றுமதி
0.784033,கோடி
0.784493,பி
0.784815,துறைகளில்
0.785484,நாடாகும்
0.785911,அரிசி
0.786686,கொலை
0.788352,நாடாக
0.788357,நாடுகளுக்கு
0.791027,ஜெர்மனி
0.793275,காணப்படுகிறது
0.793921,பெருமை
0.794459,அதிகம்
0.794992,மாநிலங்களின்
0.796464,சென்ற
0.796767,சிவப்பு
0.796841,ஆப்
0.798707,உலகில்
0.799162,ஒன்றான
0.800285,அலுமினியம்
0.800356,பொருட்களை
0.80175,கண்ணகி
0.801813,நூற்றாண்டு
0.801872,துறைமுகம்
0.80196,பகுதிகளில்
0.802814,நாடாகவும்
0.802931,கதிர்கள்
0.803675,மாநிலங்களில்
0.803975,மரம்
0.804908,பிரதேசம்
0.805175,நாடு
0.807648,விட்டு
0.808402,உணவு
0.808935,புது
0.808964,கலந்த
0.811434,தங்க
0.811595,மாகாணத்தின்
0.812485,சிந்து
0.812561,முழுவதிலும்
0.813832,கலப்பு
0.815163,முடிவில்
0.815548,அங்கே
0.815982,பயன்படுத்தப்பட்டு
0.816155,கொழும்பில்
0.816469,எனப்படுவது
0.816852,படங்களில்
0.817621,விடுதலை
0.817934,ஏறத்தாழ
0.818174,ஆங்கிலம்
0.818268,இலக்கியங்களில்
0.818869,இந்தியப்
0.819483,சுதந்திரம்
0.819565,தாமிரம்
0.820728,திரைப்படங்களில்
0.821705,சர்க்கரை
0.821709,மொழிகளிலும்
0.821913,அதிகளவில்
0.82194,இலங்கையில்
0.823087,ஐரோப்பிய
0.823793,நாட்களில்
0.824798,தொன்மையான
0.824984,வந்தன
0.826625,ஆவது
0.826901,முன்பே
0.828097,மேற்கத்திய
0.832107,கொண்டுள்ளது
0.832158,நோய்கள்
0.833655,உற்பத்தியில்
0.833945,பிரித்தானியப்
0.83465,ஒன்றும்
0.835132,இதே
0.835325,வழிபாடு
0.835414,குடியரசு
0.835578,செய்தி
0.835812,காடுகள்
0.835903,பகுதிகளும்
0.836318,மும்பை
0.83663,வளர்ந்து
0.836645,கோதுமை
0.837461,கருதப்படுகின்றது
0.837951,தருகிறது
0.838638,பொதுவாகப்
0.839035,பகுதிகளிலும்
0.839283,ஆசியாவின்
0.840126,கால்
0.840263,இதுவும்
0.840296,பெருமளவு
0.840339,பாலை
0.840635,சுட்டெண்
0.841656,புவியியல்
0.841685,காட்சி
0.841814,அலகு
0.842832,நாடுகளின்
0.843547,சதவீதம்
0.843899,அவள்
0.844648,கை
0.844691,பச்சை
0.845114,நில
0.845437,தென்னிந்தியாவில்
0.845656,கண்ணன்
0.846287,கூறும்
0.846288,அரசன்
0.846358,இருபதாம்
0.846801,தோன்றிய
0.847039,ஆப்பிள்
0.847132,அயர்லாந்து
0.848158,தம்பி
0.850242,கிராமம்
0.850654,விளங்குகிறது
0.852231,போராட்டம்
0.852426,பெற்றார்
0.85252,கால்சியம்
0.852535,உண்டு
0.853371,தொலைபேசி
0.853761,கொடுத்து
0.854007,பயன்படுத்தப்படுகிறது
0.854046,வங்கி
0.854569,இயற்கையில்
0.854583,கல்லூரியில்
0.854587,உப்பு
0.854598,எண்ணெய்
0.854658,கண்ட
0.855219,இயந்திரங்கள்
0.855598,மேம்பாட்டுச்
0.856739,மில்லியன்
0.857643,வெளியிணைப்புகள்
0.85778,உணவுகள்
0.857827,ஆறாவது
0.85812,மரபு
0.858762,எல்லை
0.860087,குறிப்பிடப்பட்டுள்ளது
0.8605,பெற்றுள்ளது
0.860506,நிகழ்வுகள்
0.861106,நகர்
0.861753,ராஜா
0.861985,குதிரைகள்
0.862026,பௌத்தம்
0.862997,ஒன்றில்
0.863333,சிலர்
0.863387,மேற்படி
0.863699,படங்கள்
0.863912,கிராம்
0.864533,முன்னர்
0.864875,மின்சாரம்
0.865035,நடு
0.86612,பேராசிரியர்
0.867207,வீடு
0.867476,இரு
0.867813,கிழக்கு
0.867818,வாழ்ந்து
0.868007,சக்தி
0.868473,நெருங்கிய
0.869065,மதம்
0.869104,இந்திய
0.869114,நடந்து
0.869268,கூறி
0.87031,வருடம்
0.871042,சேர்த்து
0.871615,தாயின்
0.871893,அவரை
0.872021,இந்தியாவின்
0.872141,மருத்துவம்
0.87321,ஆறுகள்
0.873385,பயன்படுகிறது
0.873584,தலைவர்கள்
0.874073,எங்கும்
0.874856,கொண்டது
0.875422,தயாரிப்பு
0.875644,நல்லூர்
0.875885,தற்போது
0.876061,முதலிய
0.87625,ஐந்தாவது
0.876725,அவன்
0.876734,மேலாக
0.876889,கருதப்படும்
0.878041,இவர்களில்
0.87832,நாம்
0.87835,வர
0.878634,அமைச்சர்
0.878727,பெரும்பகுதி
0.878957,அதை
0.879359,சர்
0.879608,பயன்படுத்தப்படுகின்றன
0.87975,மண்டல
0.879913,கொள்ளலாம்
0.879924,தொடங்கினார்
0.880002,இலட்சம்
0.880489,விஜய்
0.880594,பழம்
0.880671,காதல்
0.881126,வங்காள
0.881145,செய்வதற்கு
0.881348,க்கும்
0.881404,இதற்கு
0.881885,வருடங்களுக்கு
0.882144,யானை
0.882719,இணைப்புகள்==
0.882846,வெண்பா
0.882925,கோயம்புத்தூர்
0.883086,வகைகளில்
0.883193,கலாம்
0.883281,பகுதிகளை
0.883463,என்பது
0.88402,இறப்பு
0.884397,பதிவு
0.884465,வெளியிட்டார்
0.884914,பாதையில்
0.88518,அரை
0.885322,முன்னணி
0.885649,ஒன்றாகும்
0.885684,நாட்டு
0.885835,மின்னோட்டம்
0.886001,தலங்கள்
0.886137,எழுதினார்
0.886203,விழா
0.886514,இரவு
0.887231,அவனது
0.887237,தோல்
0.887857,பிரெஞ்சு
0.888517,நிற
0.889042,இறைவன்
0.889922,பெற்றன
0.890008,உத்தரப்
0.890122,படுகிறது
0.890164,தில்லி
0.890285,பயணம்
0.890433,தமிழீழ
0.890477,சமையல்
0.890656,அரசு
0.890926,கூடியது
0.891002,முன்
0.891398,குறிப்பிடுகிறார்
0.891478,குடியேற்ற
0.891814,கொக்கோ
0.892153,தொலைக்காட்சி
0.892215,மஞ்சள்
0.892411,புள்ளிகள்
0.893133,மாநிலத்திலுள்ள
0.893172,வட்ட
0.893656,குழந்தை
0.893657,மாறியது
0.893739,என்றால்
0.893938,அறியலாம்
0.893966,பெறப்படும்
0.893978,மாநிலங்கள்
0.894015,திரைப்படம்
0.894035,வைக்கும்
0.894053,நடத்தி
0.894261,மகா
0.894677,ஏற்ற
0.894742,இடங்களிலும்
0.894755,நிறைந்த
0.894919,மெல்லிய
0.895148,சாக்கொலேட்
0.895806,புள்ளி
0.895965,யோவான்
0.89598,பகுதியை
0.896197,காலை
0.896701,மன்னன்
0.897247,கூறினார்
0.89775,படிப்படியாக
0.898072,சென்னை
0.898155,அதிர்வெண்
0.898391,அரசர்கள்
0.898578,மணம்
0.899134,ஒருவன்
0.899237,காடுகளில்
0.899748,எழுத்துக்கள்
0.900639,இடம்
0.901204,பார்க்கவும்==
0.901212,மேற்கு
0.901239,கூடும்
0.901276,மாத
0.901352,பேசும்
0.901448,இந்துக்கள்
0.901704,மூன்றில்
0.901773,புதிதாக
0.901873,முதலான
0.902046,நாடகம்
0.902244,சிந்துவெளி
0.902565,இம்
0.90257,கொல்கத்தா
0.902715,கொண்டு
0.903055,நடித்தார்
0.903144,நூல்களை
0.903266,பொருளாக
0.903401,வருகிறது
0.903525,மணி
0.904186,ஏரி
0.904334,மனித
0.904705,பருத்தி
0.904878,காசுமீர்
0.904992,இராச்சியம்
0.905062,மாணவர்கள்
0.905187,மலையாளம்
0.905346,கிடைத்தது
0.905395,ஆஃப்
0.905495,புலி
0.905495,கொண்டாடப்படுகிறது
0.905573,விளைவு
0.905751,அறிவித்தது
0.90577,தரும்
0.905847,நான்
0.906296,சீனாவில்
0.90634,தொடங்கினர்
0.906361,மொழியாக
0.906808,யார்
0.906985,ஆகவே
0.907121,விருதுகள்
0.907299,கலந்து
0.907558,ஒருநாள்
0.907954,வழங்கியது
0.908045,அதிகரித்து
0.908406,இந்து
0.908417,நூல்களில்
0.908498,மாவட்ட
0.908681,சுவை
0.90899,வரலாற்றில்
0.909063,நாள்
0.90936,காலத்தின்
0.909525,பட்டு
0.910013,படத்தில்
0.910021,சிதம்பரம்
0.910044,சூழலில்
0.910358,எதிர்
0.910435,செய்யப்படுகிறது
0.910501,படி
0.910536,சீன
0.910625,கொரிய
0.91081,உருது
0.910895,புத்தர்
0.9109,மனிதன்
0.911353,பங்கு
0.91158,பின்பு
0.911938,கி
0.911997,தடை
0.912046,இணைத்து
0.912169,அலகுகள்
0.912206,வாயு
0.912216,பிரித்தானியர்
0.91248,ஏன்
