Distance,Word
-2.22045e-16,கிழக்கு
0.106205,மேற்கு
0.115543,தெற்கு
0.125435,வடக்கு
0.180069,மத்திய
0.229385,ஐரோப்பாவில்
0.231794,வட
0.24108,ஆகிய
0.245227,மற்றும்
0.256923,தென்
0.265153,கொண்டுள்ளது
0.271996,பகுதியில்
0.280297,பகுதிகளை
0.283617,பகுதிகளில்
0.294544,தென்மேற்கு
0.296756,நாட்டின்
0.302526,அமைந்துள்ளன
0.302625,முக்கிய
0.313691,இந்தியாவின்
0.315228,ஆகியன
0.317888,இடையே
0.317949,ஆகியவை
0.321689,ஆசியா
0.321904,பிற
0.322262,இந்தியா
0.323223,போன்ற
0.324185,நடு
0.327271,உள்ள
0.329272,வங்காளம்
0.329424,இடையில்
0.329723,அமைந்துள்ளது
0.330484,மற்ற
0.331097,பெரும்பாலான
0.33189,மேலும்
0.333069,ஆகியவற்றின்
0.334616,ஆகியவற்றை
0.334747,கடற்கரை
0.340526,குறிப்பாக
0.340833,உள்ளது
0.343383,ஐரோப்பா
0.343696,பகுதிகள்
0.345954,தற்போது
0.34766,பெரும்
0.348155,வடகிழக்கு
0.349095,முறையே
0.349556,அமைந்துள்ள
0.349684,இங்கு
0.350221,முந்தைய
0.351088,ஆதிக்கம்
0.35263,காரணமாக
0.352797,ஆகியவற்றில்
0.352935,உள்ளூர்
0.353639,இருந்து
0.354387,சுற்றியுள்ள
0.354422,ஆசிய
0.357824,அத்துடன்
0.360456,உள்ளன
0.361435,உள்ளடக்கிய
0.363697,இரண்டு
0.365924,பாதுகாப்பு
0.366692,பகுதி
0.366733,உருவாக்கப்பட்டது
0.367484,நகரத்தின்
0.367556,ஏனைய
0.367883,நகரின்
0.368055,ஐரோப்பாவின்
0.368316,இந்த
0.368676,அனைத்து
0.368834,கிழக்குப்
0.369456,சார்ந்த
0.370802,மூன்று
0.371027,நவீன
0.371531,இராணுவ
0.372295,மாநிலங்கள்
0.374294,பல
0.376176,பொருளாதார
0.376492,அமைப்பு
0.377454,மிகவும்
0.377464,பிலிப்பைன்ஸ்
