Distance,Word
0,தலைநகர்
0.223395,தலைநகரம்
0.258501,மாவட்டத்தின்
0.272063,அமைந்துள்ள
0.289965,ஆகும்
0.290847,இது
0.294205,மிகப்பெரிய
0.302809,நகரம்
0.308122,அமைந்துள்ளது
0.309159,இந்தியாவின்
0.309627,இதன்
0.311799,நாட்டின்
0.324294,நகரமும்
0.330012,பகுதியில்
0.335946,மாநிலத்தின்
0.33654,இதுவே
0.343781,இந்நகரம்
0.344702,பெரிய
0.346491,உள்ள
0.34923,நகரமாகும்
0.361329,முக்கிய
0.364236,நாடு
0.367546,உள்ளது
0.374352,ஆந்திர
0.377821,இதில்
0.378435,கொண்ட
0.378573,கொண்டுள்ளது
0.378983,ஒன்றாகும்
0.38281,இருந்து
0.383846,நகரங்கள்
0.385421,மிகவும்
0.387969,இங்கு
0.38878,இந்தியாவில்
0.392471,தற்போதைய
0.394137,கொண்டது
0.39453,மிகுந்த
0.396228,தலைநகரான
0.396267,நகரத்தின்
0.396359,தமிழ்நாட்டின்
0.398321,நகரின்
0.3993,ஒரு
0.401649,மேலும்
0.402005,விளங்குகிறது
0.403648,நாடாகும்
0.405057,ஆனது
0.405561,மாநிலம்
0.406604,வட
0.407322,அடிப்படையில்
0.407484,முக்கியமான
0.409768,மிக
0.41178,ஏறத்தாழ
0.412349,இரண்டாவது
0.412635,பகுதி
0.413598,சேர்ந்த
0.414199,தலை
0.414439,இந்த
0.415786,குடியரசு
0.416261,அனைத்து
0.417234,ஒன்றான
0.419224,மற்றும்
0.419389,அமைந்த
0.41997,உலகில்
0.421014,மாநிலத்தில்
0.422231,தென்
0.423607,நகர
0.424735,இருந்தது
0.425961,ஒன்று
0.428772,பெரும்பாலான
0.429551,மற்றொரு
0.429617,உலகின்
0.430033,ஓர்
0.430133,என
0.430673,சிறப்பு
0.431374,மூலம்
0.431921,பகுதியின்
0.432104,சுமார்
0.432394,எனினும்
0.432734,மக்களின்
0.432835,தற்போது
0.433049,இடையில்
0.433313,அதன்
0.433463,ஐரோப்பாவில்
0.43348,காரணமாக
0.438193,கொண்டு
0.440514,மற்ற
0.441361,கரையில்
0.442517,நீண்ட
