Distance,Word
1.11022e-16,மாநிலம்
0.286764,இந்தியாவின்
0.330677,நகரம்
0.336766,மாநிலங்களில்
0.343852,மாநிலத்தின்
0.367389,மாநிலத்தில்
0.373996,வட
0.376923,நாட்டின்
0.379615,பஞ்சாப்
0.380755,இந்திய
0.38548,மேற்கு
0.394782,மாநிலங்கள்
0.394796,தென்
0.397649,பகுதியில்
0.405561,தலைநகர்
0.407352,கிழக்கு
0.415297,இந்தியாவில்
0.416999,அமைந்துள்ள
0.41783,தற்போது
0.419473,தற்போதைய
0.422004,பிரதேசம்
0.422345,கொண்டுள்ளது
0.42582,அமெரிக்காவின்
0.427265,அமைந்துள்ளது
0.429334,மற்றும்
0.430486,அமெரிக்க
0.430823,விளங்குகிறது
0.431422,உள்ள
0.434609,பெரிய
0.434887,முக்கிய
0.435572,நகரில்
0.435655,உருவாக்கப்பட்டது
0.435964,வடக்கு
0.436225,நகரின்
0.436514,உள்ளது
0.437557,ஆந்திர
0.437782,இந்த
0.438568,தெற்கு
0.445273,இருந்து
0.447884,நாடு
0.44821,ஒன்றாகும்
0.448374,அமைந்த
0.448654,மிகப்பெரிய
0.448749,இங்கு
0.450651,மத்திய
0.45108,இது
0.451942,நகரங்களில்
0.452198,இந்நகரம்
0.45418,மேலும்
0.454206,அமைந்துள்ளன
0.454388,தமிழ்நாட்டின்
0.454471,வடகிழக்கு
0.454779,சுதந்திர
0.457869,அனைத்து
0.459908,அமெரிக்காவில்
0.460216,இந்தியா
0.460589,பகுதி
0.461928,மற்ற
0.462241,மாநில
0.463004,பெரும்பாலான
0.463061,முந்தைய
0.463286,பகுதிகள்
0.464786,நகரத்தில்
0.465201,இதில்
0.465307,உலக
0.465316,இரண்டாவது
0.466593,பகுதிகளில்
0.466608,இதன்
0.467072,கொண்ட
0.469008,வங்காள
0.469097,இருந்தது
0.469251,நகர
0.469293,பிரித்தானிய
0.470794,இடையில்
0.471692,ஆகிய
0.471768,முதன்மை
0.472023,நகரத்தின்
0.473209,சுமார்
0.473331,வருகிறது
0.474343,மாவட்டத்தின்
0.474948,ஆந்திரப்
0.474971,ஆகும்
0.475573,பெரும்
0.475681,பகுதிகளை
0.477603,கொண்டது
0.478707,நியூயார்க்
0.480077,பல
0.480124,மிகுந்த
0.480271,அரசாங்கம்
0.482536,மும்பை
0.482759,நகரங்கள்
0.482977,உலகின்
0.483076,உருவானது
0.483252,இரண்டு
0.483357,இருந்த
0.483608,தலைமை
0.483864,மூன்று
0.484459,மையமாக
0.484718,மிக
0.485082,அடுத்து
0.485164,மிகவும்
0.485402,தமிழ்நாடு
0.48604,பிரிக்கப்பட்டுள்ளது
0.487216,பிரதான
0.487317,என
0.487616,அமைப்பு
0.487734,தமிழகத்தின்
0.487969,ஆனது
0.488355,புதிய
0.488409,பொருளாதாரம்
0.488633,தொடர்ந்து
0.489347,பொருளாதார
0.489594,தான்
0.489644,அரசியல்
0.489948,பகுதியின்
0.490481,இதுவே
0.491612,இந்தக்
0.492486,உள்ளன
0.492582,தனி
0.492586,பகுதியான
0.492611,முழுவதும்
0.492963,இடையே
0.493367,ஐந்து
0.493529,சிறப்பு
0.493822,பிறகு
0.494395,கொண்டு
0.495004,திகழ்கிறது
0.49534,ஏறக்குறைய
0.495648,இன்றைய
0.495874,பிரான்சு
0.495897,படி
0.496113,ஐரோப்பாவில்
0.496256,ஒன்றான
0.496972,ஒன்று
0.497416,மக்களின்
0.497815,குறிப்பாக
0.497818,குடியரசு
0.498643,நாடுகளில்
0.498654,காலத்தில்
0.498663,இடம்
0.499063,கீழ்
0.499083,அத்துடன்
0.499107,பெரும்பகுதி
0.499166,என்று
0.500492,வழியாக
0.500824,நாடுகளின்
0.500942,நான்கு
0.500977,மேல்
0.502085,அரசு
0.502129,கட்டிடம்
0.50235,வங்காளம்
0.502572,மத்தியப்
0.503177,ஏறத்தாழ
0.503796,அதன்
0.504005,இருக்கிறது
0.504575,பிற
0.504806,மட்டும்
0.505555,சீன
0.505591,மட்டுமே
0.50579,வரலாறு
0.506375,மையம்
0.506502,இதனால்
0.506552,ஏழு
0.507,காரணமாக
0.507772,தேசிய
0.508705,வகையில்
0.508809,பிரதேசத்தில்
0.509824,சேர்ந்த
0.510026,இதற்கு
0.510765,பெரும்பாலும்
0.510891,உருவான
0.510974,காசுமீர்
0.511136,அடிப்படையில்
0.511746,மூன்றாவது
0.512041,தலைநகரம்
0.512085,நாடாக
0.512157,பின்னர்
0.512227,நவீன
0.513337,அரசின்
0.513546,பொது
0.513621,சுற்றுலா
0.513993,எனினும்
0.51408,இல்
0.514533,உருவாக்கப்பட்ட
0.514767,ஐரோப்பாவின்
0.514937,நடுவண்
0.515688,நிறைந்த
0.515876,நிர்வாக
0.51601,கடற்கரை
0.516042,கிழக்கில்
0.516217,ஒன்றாக
0.516272,மூலம்
0.516769,அன்று
0.516921,பெற்றது
0.51716,நியூ
0.517881,வருகின்றது
0.518127,வது
0.51827,அதே
0.518801,உள்ளடக்கிய
0.518923,இணைந்து
0.519086,மக்களால்
0.519109,உலகில்
0.519112,சட்ட
0.519246,செய்யப்பட்டது
0.519249,ஆனால்
0.519527,கருதப்படுகிறது
0.520559,பண்டைய
0.520704,வந்த
0.521117,இம்
0.521267,தலைநகரான
0.521598,இருந்தன
0.521612,வடக்கில்
0.521842,மாநிலங்களின்
0.521888,பழமையான
0.522166,தலைநகராக
0.522525,ஏனைய
0.522603,இப்பகுதி
0.523212,பெரு
0.523402,நகர்
0.523507,வர்த்தக
0.523679,பல்வேறு
0.523706,புகழ்பெற்ற
0.523758,அவை
0.523771,ஆசிய
0.523995,பகுதிக்கு
0.5241,சட்டம்
0.524413,இருப்பினும்
0.524667,ஆதிக்கம்
0.524725,கிழக்குப்
0.525255,நடு
0.525404,முதல்
0.525574,தமிழ்நாட்டில்
0.52629,பாகிஸ்தான்
0.526515,மொத்த
0.526867,பின்
0.527195,தொழில்
0.528017,பட்டது
0.528443,இந்தப்
0.528614,கொல்கத்தா
0.528679,மாகாணத்தின்
