Distance,Word
0,மொழி
0.166518,பேசும்
0.235981,பிரெஞ்சு
0.249765,உருது
0.310092,வங்காள
0.329739,இத்தாலிய
0.332063,பேசப்படும்
0.344619,பேசப்படுகிறது
0.362913,டச்சு
0.404384,எசுப்பானிய
0.424991,கொரிய
0.43199,மொழிகளில்
0.452192,ஆங்கிலம்
0.468418,பாரசீக
0.480888,ஜெர்மன்
0.480986,ஆங்கில
0.490051,மொழிகளிலும்
0.495304,தெலுங்கு
0.508147,மொழியாக
0.510968,கன்னடம்
0.520591,வட்டார
0.535071,மொழிகள்
0.54044,மொழியின்
0.562282,சிங்கள
0.566821,மலாய்
0.575892,இந்தி
0.612322,இலத்தீன்
0.621975,சீன
0.622522,மக்களால்
0.640402,திராவிட
0.648202,ஆங்கிலத்தில்
0.649011,பேச்சு
0.650002,இம்
0.650887,மக்களின்
0.65439,ஆட்சி
0.654818,அதிகாரப்பூர்வ
0.660947,பண்பாடு
0.660969,ஆவணங்கள்
0.662087,முக்கிய
0.662473,இன
0.665404,அல்லாத
0.665819,பெரும்பான்மை
0.666324,அரசாங்கத்தின்
0.667036,கலாச்சார
0.669043,மலையாள
0.672138,அதிகம்
0.672448,நாட்டின்
0.675322,இவற்றுள்
0.677471,சமூகம்
0.677735,முதலிய
0.678041,ஆகியன
0.678739,பரவலாகப்
0.681475,தாய்
0.682119,நிரல்
0.683887,தோன்றிய
0.685165,இதுவரை
0.686381,பழங்கால
0.688598,பரவலாக
0.689039,மொழியில்
0.689636,மற்றும்
0.68991,இங்கு
0.690411,திரைப்படம்
0.690553,பயன்படுத்தும்
0.69318,போன்றே
0.69493,அறிஞர்கள்
0.695947,அடிப்படையிலான
0.697081,குறிப்பிடத்தக்கது
0.697148,வங்காளம்
0.697744,அதிகளவில்
0.699088,கிடைக்கின்றன
0.700694,ஏனைய
0.701416,தமிழில்
0.702934,ஐரோப்பிய
0.703413,வரலாறு
0.704666,முதன்மை
0.704672,மூல
0.705433,எழுதி
0.706324,போன்ற
0.708642,எழுத்துக்கள்
0.70929,தமிழ்
0.709564,கிளை
0.709986,இருந்தாலும்
0.710538,பிரான்சு
0.711526,பயன்படுத்தப்படுகிறது
0.712178,இவர்களின்
0.712226,பொதுவாகக்
0.713941,பல்வேறு
0.71402,இவர்கள்
0.71503,மொழிபெயர்ப்பு
0.715622,பிராந்திய
0.715653,பல
0.715674,மலையாளம்
0.715696,ஆசிய
0.715736,பண்டைய
0.717609,பிற
0.718443,பழைய
0.719565,பெருமளவு
0.719625,வளர்ச்சிக்கு
0.720193,ஆகிய
0.72043,தலைநகர்
0.720617,பெருமளவில்
0.721036,உள்ளது
0.721117,ஒன்றாகும்
0.721132,மேலும்
0.721316,ஆர்வம்
0.722738,வட
0.723146,தென்னிந்தியாவில்
0.723803,நிர்வாக
0.72395,நவீன
0.724368,மற்ற
0.725806,இதற்கு
0.725852,அனைத்து
0.726431,வழக்கு
0.726764,துறை
0.726909,இலக்கணம்
0.727379,தொடர்பான
0.727478,உயிர்
0.727538,சேர்ந்த
0.72919,தென்
0.729206,இங்கே
0.729694,உறுதி
0.729709,ஆதரவு
0.730101,இலக்கிய
0.730723,தொகுப்பு
0.730822,கொண்டுள்ளது
0.73122,இதர
0.731345,பெரும்பாலான
0.731475,குறிப்பாக
0.731876,ஒன்றை
0.731885,தவிர
0.732247,ரீதியாக
0.732326,தமிழ்நாட்டின்
0.732372,என்பன
0.7325,தொடர்பு
0.732538,நிறைய
0.732649,மிகுந்த
0.733254,இந்திய
0.733683,சிந்துவெளி
0.733778,வரலாற்று
0.734012,இந்தியாவில்
0.734754,தோற்றம்
0.735214,நாடுகளில்
0.735218,கலந்த
0.735326,பொதுவான
0.736416,உதாரணமாக
0.736827,பெற்றவர்
0.73716,சார்ந்த
0.737313,சமயம்
0.737612,மேற்கத்திய
0.737631,உள்ளூர்
0.737651,ஆகும்
0.737834,மத
0.737839,உருவானது
0.738079,இயக்கம்
0.738512,எனினும்
0.738525,காலத்தில்
0.738774,இயற்கை
0.738822,மூலமாக
0.739289,கட்டமைப்பு
0.73939,மிகவும்
0.739486,பொது
0.739523,என
0.740023,ஆதிக்கம்
0.7404,பகுதிகளில்
0.740477,நகரங்கள்
0.741408,உள்ளன
0.741566,கொண்ட
0.74172,இலக்கியம்
0.741835,அடிப்படையில்
0.742191,கொண்டது
0.742794,காரணமாக
0.742942,வடிவமைப்பு
0.744073,வடிவங்கள்
0.744076,வருகிறது
0.744134,வழிமுறைகள்
0.744161,இவ்விரு
0.744181,மொழியியல்
0.744478,கிழக்கு
0.745136,தாக்கம்
0.74524,எப்படி
0.745922,எண்ணிக்கையில்
0.745957,இருந்து
0.746037,மூன்று
0.74645,இந்தியாவின்
0.746612,இது
0.747225,சில
0.747253,இந்த
0.747272,உலகில்
0.747632,முறையே
0.747659,ஆகியவை
0.747812,கிட்டத்தட்ட
0.74783,தற்போது
0.748065,எழுதப்பட்ட
0.748161,நாடு
0.748434,கல்வி
0.748474,அவர்கள்
0.748534,அரசு
0.748654,மூலம்
0.748737,புகழ்பெற்ற
0.748739,மாநிலத்தின்
0.748891,அடிப்படை
0.749068,மைக்ரோசாப்ட்
0.749518,இருப்பினும்
0.749608,கருதப்படுகிறது
0.749647,அடங்கும்
