Distance,Word
0,மொழிகள்
0.340342,பேசப்படும்
0.418527,உருது
0.457075,பேசப்படுகிறது
0.48649,வட்டார
0.489286,ஆங்கிலம்
0.500011,மொழிகளில்
0.515055,பிரெஞ்சு
0.51873,மொழிகளிலும்
0.525138,பேசும்
0.535071,மொழி
0.547125,அடங்கும்
0.549536,இவற்றுள்
0.556667,பொதுவாகக்
0.557246,மற்றும்
0.558838,வங்காள
0.562155,ஏனைய
0.566422,மொழியாக
0.566453,பாரசீக
0.56651,ஜெர்மன்
0.568815,பிற
0.569701,கன்னடம்
0.571513,போன்ற
0.574283,இத்தாலிய
0.575677,பல்வேறு
0.577195,ஆகிய
0.584751,பெரும்பாலான
0.588538,முக்கிய
0.589104,திராவிட
0.590662,மற்ற
0.591028,வட
0.592291,இந்தி
0.592374,ஆகியவை
0.592933,சேர்ந்த
0.593202,உள்ளூர்
0.593711,டச்சு
0.593997,குறிப்பாக
0.595757,பகுதிகளில்
0.598898,சீன
0.59949,என்பன
0.59972,உள்ளன
0.600332,நவீன
0.600944,ஆகியன
0.603327,பண்பாடு
0.604784,ஆகியவற்றின்
0.605175,பல
0.605455,மக்களால்
0.606708,சார்ந்த
0.606963,ஆங்கில
0.608668,போன்றவை
0.611982,ஐரோப்பிய
0.614089,தெலுங்கு
0.614189,பிராந்திய
0.614723,கொண்டுள்ளது
0.616274,குழுக்கள்
0.616663,தென்னிந்தியாவில்
0.61681,இங்கு
0.617095,ஆகியவற்றை
0.617238,தொடர்பான
0.617431,உள்ளிட்ட
0.617911,அல்லாத
0.618287,மேலும்
0.620315,கலாச்சார
0.62207,நாட்டின்
0.623385,ஆசிய
0.623575,ஆகியவற்றில்
0.624043,முதன்மை
0.624429,காணப்படுகின்றன
0.625318,துணை
0.626014,அனைத்து
0.6272,பரவலாக
0.627211,நாடுகளில்
0.62735,பயன்படுத்தப்படுகின்றன
0.628398,பழங்கால
0.629871,தென்
0.630493,உள்ளடக்கிய
0.630514,முறையே
0.631279,தற்போது
0.631829,பெரும்பாலும்
0.633092,மேற்படி
0.633558,இவற்றில்
0.634009,அரசாங்கத்தின்
0.634238,உட்பட
0.634562,இருக்கின்றன
0.63473,பகுதிகளை
0.635135,பாதுகாப்பு
0.635873,இருக்கிறது
0.63747,தவிர
